,count,mean,std,min,25%,50%,75%,max
NATURAL GAS,6083.0,4.512820318921585,2.2328421296110395,1.482,2.835,3.895,5.6715,15.378
GOLD,6082.0,1069.1138770141401,533.170925613802,255.1,492.45,1202.6999999999998,1473.4,2055.7
WTI CRUDE,6083.0,62.877017918790074,25.875847285770227,-37.63,42.18,60.55,82.485,145.29
BRENT CRUDE,6090.0,66.19710673234812,29.16764476386268,17.68,43.5325,63.629999999999995,85.6925,146.08
SOYBEANS,6083.0,981.3291961203354,343.6129982371285,418.0,662.875,957.0,1285.125,1771.0
CORN,6084.0,403.801939513478,165.32584747607183,174.75,251.4375,368.75,514.75,831.25
COPPER,6083.0,2.622519973697189,1.1298904285824805,0.606,1.65825,2.8455,3.4465000000000003,4.929
SILVER,6079.0,16.117507155782203,8.448538662922763,4.028,8.18,16.272,20.664,48.584
LOW SULPHUR GAS OIL,6090.0,587.1440886699507,262.62132938464265,148.5,384.25,570.0,779.75,1522.5
LIVE CATTLE,6084.0,106.5668721236029,26.341295174480244,59.4,85.425,104.5375,124.03125,181.325
SOYBEAN OIL,6079.0,36.14975489389702,14.979880336487692,14.38,25.57,32.69,47.004999999999995,90.6
ALUMINIUM,6045.0,1975.0772076095946,452.7616206572901,1246.0,1630.75,1880.0,2268.11,3875.5
SOYBEAN MEAL,6082.0,302.13475830318976,97.84366154032134,146.3,197.82500000000002,308.0,371.0,548.1
ZINC,6046.0,2083.550792259345,848.5858579788522,724.0,1294.625,2076.875,2626.6875,4594.0
ULS DIESEL,6083.0,192.13282919612033,84.46284516491521,49.99,126.4,187.89,255.82,513.54
NICKEL,6046.0,16132.292130334105,7749.707399954175,4350.0,10620.625,14671.0,19336.125,53750.0
WHEAT,6078.0,527.9126357354393,190.4608863364179,233.5,377.3125,504.5,653.75,1425.25
SUGAR,6083.0,14.474946572414925,5.876186460865605,4.65,9.934999999999999,13.63,18.24,35.31
GASOLINE,4601.0,212.9312866768094,63.46265877318326,41.18,161.6,206.38,264.6,427.62
COFFEE,6080.0,128.63365131578948,50.737192645459686,41.5,99.25,121.1,150.82500000000002,304.9
LEAN HOGS,6084.0,72.26997452333991,16.81902018403138,30.05,59.95,69.15,82.3,133.875
HRW WHEAT,6078.0,553.9252632444883,204.97508808378691,270.75,399.0625,495.5,702.4375,1367.75
COTTON,6079.0,71.29497450238526,25.202065680661974,28.52,55.535,66.77,81.795,215.15
