horizon,impulse,response,irf_value
0,WTI CRUDE,WTI CRUDE,1.0
0,WTI CRUDE,NATURAL GAS,0.0
0,WTI CRUDE,GOLD,0.0
0,WTI CRUDE,CORN,0.0
0,WTI CRUDE,WHEAT,0.0
0,WTI CRUDE,SOYBEANS,0.0
0,WTI CRUDE,COPPER,0.0
0,WTI CRUDE,SILVER,0.0
1,WTI CRUDE,WTI CRUDE,-0.06043121796523537
1,WTI CRUDE,NATURAL GAS,-0.05216283072224278
1,WTI CRUDE,GOLD,0.0012493483747342353
1,WTI CRUDE,CORN,-0.010971809343385628
1,WTI CRUDE,WHEAT,-0.014186073505678073
1,WTI CRUDE,SOYBEANS,-0.007962533894527878
1,WTI CRUDE,COPPER,-0.005187617042395176
1,WTI CRUDE,SILVER,0.01995566516354621
2,WTI CRUDE,WTI CRUDE,-0.05592502300208183
2,WTI CRUDE,NATURAL GAS,0.030922632479293565
2,WTI CRUDE,GOLD,-0.0031150439217455476
2,WTI CRUDE,CORN,0.009350021170008731
2,WTI CRUDE,WHEAT,0.002973564660924679
2,WTI CRUDE,SOYBEANS,-0.008187495351264356
2,WTI CRUDE,COPPER,0.003292456008208245
2,WTI CRUDE,SILVER,-0.018352895062655965
3,WTI CRUDE,WTI CRUDE,-0.02151817310889278
3,WTI CRUDE,NATURAL GAS,0.02020878490847722
3,WTI CRUDE,GOLD,-0.0016055131601162556
3,WTI CRUDE,CORN,0.002406418663347945
3,WTI CRUDE,WHEAT,0.0002782008551264355
3,WTI CRUDE,SOYBEANS,0.001957716368302368
3,WTI CRUDE,COPPER,0.015146107745594422
3,WTI CRUDE,SILVER,0.0016789110181772819
4,WTI CRUDE,WTI CRUDE,0.004788884307538531
4,WTI CRUDE,NATURAL GAS,-0.0010600414263185866
4,WTI CRUDE,GOLD,0.00022085364103419276
4,WTI CRUDE,CORN,-0.0005638863088967853
4,WTI CRUDE,WHEAT,0.0004043411343749865
4,WTI CRUDE,SOYBEANS,0.0008039045876754024
