regime,horizon_months,impulse,response,irf_value
normal,0,WTI CRUDE,WTI CRUDE,0.0892726492651276
normal,0,WTI CRUDE,NATURAL GAS,0.03684799744410336
normal,0,WTI CRUDE,GOLD,0.00632898790742823
normal,0,WTI CRUDE,CORN,0.007182120988301074
normal,0,WTI CRUDE,WHEAT,0.0058499533482062925
normal,0,WTI CRUDE,SOYBEANS,0.011865391714790929
normal,0,WTI CRUDE,COPPER,0.023267668857087788
normal,0,WTI CRUDE,SILVER,0.01800244675607893
normal,1,WTI CRUDE,WTI CRUDE,0.0017433777900398375
normal,1,WTI CRUDE,NATURAL GAS,0.0023978343385788834
normal,1,WTI CRUDE,GOLD,0.0036038362288402168
normal,1,WTI CRUDE,CORN,-0.00014859307712207438
normal,1,WTI CRUDE,WHEAT,0.004713103032308795
normal,1,WTI CRUDE,SOYBEANS,0.0002684391483574155
normal,1,WTI CRUDE,COPPER,0.0020037699250787383
normal,1,WTI CRUDE,SILVER,0.0050796177355460345
normal,2,WTI CRUDE,WTI CRUDE,-0.000699711839190059
normal,2,WTI CRUDE,NATURAL GAS,-0.0012587132171065587
normal,2,WTI CRUDE,GOLD,-0.0004916937846573911
normal,2,WTI CRUDE,CORN,0.0005738761468918045
normal,2,WTI CRUDE,WHEAT,0.00012246329578907353
normal,2,WTI CRUDE,SOYBEANS,0.0002376210174855909
normal,2,WTI CRUDE,COPPER,-0.0001883343602980796
normal,2,WTI CRUDE,SILVER,-0.0009897091190925202
normal,3,WTI CRUDE,WTI CRUDE,7.812565493683431e-05
normal,3,WTI CRUDE,NATURAL GAS,0.00010472191794887955
normal,3,WTI CRUDE,GOLD,4.5019346328099666e-05
normal,3,WTI CRUDE,CORN,-0.00012263145571571739
normal,3,WTI CRUDE,WHEAT,-0.00021781255703439635
normal,3,WTI CRUDE,SOYBEANS,-2.4056008192735808e-05
normal,3,WTI CRUDE,COPPER,-8.731220204793592e-05
normal,3,WTI CRUDE,SILVER,0.00014004210856292585
normal,4,WTI CRUDE,WTI CRUDE,2.0713698921041493e-06
normal,4,WTI CRUDE,NATURAL GAS,4.642170795253402e-05
normal,4,WTI CRUDE,GOLD,4.674227030790637e-06
normal,4,WTI CRUDE,CORN,1.6760573642861608e-05
normal,4,WTI CRUDE,WHEAT,6.198789137544882e-05
normal,4,WTI CRUDE,SOYBEANS,6.072022112408702e-06
normal,4,WTI CRUDE,COPPER,3.37328998412266e-05
normal,4,WTI CRUDE,SILVER,-7.035318578576972e-06
normal,5,WTI CRUDE,WTI CRUDE,-3.918641708179453e-06
normal,5,WTI CRUDE,NATURAL GAS,-1.929029056294667e-05
normal,5,WTI CRUDE,GOLD,-3.3339299851129364e-06
normal,5,WTI CRUDE,CORN,-2.558473522479705e-07
normal,5,WTI CRUDE,WHEAT,-9.679613620360122e-06
normal,5,WTI CRUDE,SOYBEANS,-2.739991598212794e-06
normal,5,WTI CRUDE,COPPER,-6.27582841809862e-06
normal,5,WTI CRUDE,SILVER,-2.561623619670865e-06
normal,6,WTI CRUDE,WTI CRUDE,1.1463009756318607e-06
normal,6,WTI CRUDE,NATURAL GAS,3.4667902563193126e-06
normal,6,WTI CRUDE,GOLD,7.940631657261665e-07
normal,6,WTI CRUDE,CORN,-5.593797926340122e-07
normal,6,WTI CRUDE,WHEAT,3.5479397321842214e-07
normal,6,WTI CRUDE,SOYBEANS,9.19083058100984e-07
normal,6,WTI CRUDE,COPPER,4.160968753166272e-07
normal,6,WTI CRUDE,SILVER,6.995704407350047e-07
normal,7,WTI CRUDE,WTI CRUDE,-1.8931177546491836e-07
normal,7,WTI CRUDE,NATURAL GAS,-9.598537666932518e-08
normal,7,WTI CRUDE,GOLD,-8.88515378604948e-08
normal,7,WTI CRUDE,CORN,1.4765052408269733e-07
normal,7,WTI CRUDE,WHEAT,2.585553809936634e-07
normal,7,WTI CRUDE,SOYBEANS,-2.2411557938668722e-07
normal,7,WTI CRUDE,COPPER,1.3614032257856146e-07
normal,7,WTI CRUDE,SILVER,-5.260981197678987e-09
normal,8,WTI CRUDE,WTI CRUDE,1.057183704786806e-08
normal,8,WTI CRUDE,NATURAL GAS,-1.4064840626205349e-07
normal,8,WTI CRUDE,GOLD,-8.556952549346803e-09
normal,8,WTI CRUDE,CORN,-1.0867681659176391e-08
normal,8,WTI CRUDE,WHEAT,-7.314176965998395e-08
normal,8,WTI CRUDE,SOYBEANS,3.982762208438054e-08
normal,8,WTI CRUDE,COPPER,-5.163369759563779e-08
normal,8,WTI CRUDE,SILVER,-4.8800443777730994e-08
normal,9,WTI CRUDE,WTI CRUDE,3.916457574827344e-09
normal,9,WTI CRUDE,NATURAL GAS,4.745153934715232e-08
normal,9,WTI CRUDE,GOLD,6.1566350909729445e-09
normal,9,WTI CRUDE,CORN,-5.192220531456317e-09
normal,9,WTI CRUDE,WHEAT,5.0205189126441575e-09
normal,9,WTI CRUDE,SOYBEANS,-4.701921211878619e-09
normal,9,WTI CRUDE,COPPER,6.979140817640201e-09
normal,9,WTI CRUDE,SILVER,1.841636078373419e-08
normal,10,WTI CRUDE,WTI CRUDE,-1.2494139193807687e-09
normal,10,WTI CRUDE,NATURAL GAS,-7.648215098980152e-09
normal,10,WTI CRUDE,GOLD,-1.288292648051955e-09
normal,10,WTI CRUDE,CORN,2.3688551267878183e-09
normal,10,WTI CRUDE,WHEAT,2.9559138536423463e-09
normal,10,WTI CRUDE,SOYBEANS,2.3555566386517415e-10
normal,10,WTI CRUDE,COPPER,8.055071272457215e-10
normal,10,WTI CRUDE,SILVER,-3.929670466904811e-09
normal,11,WTI CRUDE,WTI CRUDE,9.456473430873064e-11
normal,11,WTI CRUDE,NATURAL GAS,5.613500305783356e-11
normal,11,WTI CRUDE,GOLD,5.918763813911527e-11
normal,11,WTI CRUDE,CORN,-5.237375641422092e-10
normal,11,WTI CRUDE,WHEAT,-1.3308984828686138e-09
normal,11,WTI CRUDE,SOYBEANS,9.641627015463364e-13
normal,11,WTI CRUDE,COPPER,-6.672567940543043e-10
normal,11,WTI CRUDE,SILVER,4.535347659289543e-10
normal,12,WTI CRUDE,WTI CRUDE,5.1254146602409125e-11
normal,12,WTI CRUDE,NATURAL GAS,3.421274150618524e-10
normal,12,WTI CRUDE,GOLD,5.0971114402302467e-11
normal,12,WTI CRUDE,CORN,5.682479457997154e-11
normal,12,WTI CRUDE,WHEAT,3.011978797854746e-10
normal,12,WTI CRUDE,SOYBEANS,2.0591172254852047e-11
normal,12,WTI CRUDE,COPPER,1.8128133428030326e-10
normal,12,WTI CRUDE,SILVER,1.916098330666495e-11
