regime,horizon_months,impulse,response,irf_value
shock,0,WTI CRUDE,WTI CRUDE,0.3375999327674032
shock,0,WTI CRUDE,NATURAL GAS,-0.014382016537359004
shock,0,WTI CRUDE,GOLD,0.010145652790281777
shock,0,WTI CRUDE,CORN,0.0044029063513337996
shock,0,WTI CRUDE,WHEAT,-0.0324501745875182
shock,0,WTI CRUDE,SOYBEANS,-0.010061493031088392
shock,0,WTI CRUDE,COPPER,0.04584107556657019
shock,0,WTI CRUDE,SILVER,0.1037539406678381
shock,1,WTI CRUDE,WTI CRUDE,0.01696419818306602
shock,1,WTI CRUDE,NATURAL GAS,-0.025659148221146625
shock,1,WTI CRUDE,GOLD,-0.012058941967394387
shock,1,WTI CRUDE,CORN,0.02120654785162883
shock,1,WTI CRUDE,WHEAT,0.011335515139266781
shock,1,WTI CRUDE,SOYBEANS,0.005485018409892215
shock,1,WTI CRUDE,COPPER,0.001315304081691905
shock,1,WTI CRUDE,SILVER,-0.02791734164576571
shock,2,WTI CRUDE,WTI CRUDE,0.014499879780957918
shock,2,WTI CRUDE,NATURAL GAS,-0.010113907952581068
shock,2,WTI CRUDE,GOLD,0.006853507698255027
shock,2,WTI CRUDE,CORN,0.016018819639329565
shock,2,WTI CRUDE,WHEAT,-0.0014501116431059908
shock,2,WTI CRUDE,SOYBEANS,0.027377228913068402
shock,2,WTI CRUDE,COPPER,0.02753406851389561
shock,2,WTI CRUDE,SILVER,0.008277621150776217
shock,3,WTI CRUDE,WTI CRUDE,-0.03752777509379721
shock,3,WTI CRUDE,NATURAL GAS,0.016878428582210513
shock,3,WTI CRUDE,GOLD,0.0005390496547311597
shock,3,WTI CRUDE,CORN,-0.014894019360755722
shock,3,WTI CRUDE,WHEAT,0.01652922126792472
shock,3,WTI CRUDE,SOYBEANS,-0.009296562816713975
shock,3,WTI CRUDE,COPPER,-0.018259070069714937
shock,3,WTI CRUDE,SILVER,0.012965946491590068
shock,4,WTI CRUDE,WTI CRUDE,0.015966319102560942
shock,4,WTI CRUDE,NATURAL GAS,-0.0013847600470382807
shock,4,WTI CRUDE,GOLD,-0.0027228204074170987
shock,4,WTI CRUDE,CORN,-0.005665590016230227
shock,4,WTI CRUDE,WHEAT,-0.01629074687702354
shock,4,WTI CRUDE,SOYBEANS,-0.010048320817952944
shock,4,WTI CRUDE,COPPER,0.0009143030797402546
shock,4,WTI CRUDE,SILVER,-0.018635248184286145
shock,5,WTI CRUDE,WTI CRUDE,0.019083674549927498
shock,5,WTI CRUDE,NATURAL GAS,-0.00017847972098438853
shock,5,WTI CRUDE,GOLD,0.0038282051373693454
shock,5,WTI CRUDE,CORN,0.01935871304917443
shock,5,WTI CRUDE,WHEAT,0.010769526035886948
shock,5,WTI CRUDE,SOYBEANS,0.014733593995360623
shock,5,WTI CRUDE,COPPER,0.005183690407159831
shock,5,WTI CRUDE,SILVER,0.01622072245551022
shock,6,WTI CRUDE,WTI CRUDE,-0.03688150246423993
shock,6,WTI CRUDE,NATURAL GAS,-0.010858713616326388
shock,6,WTI CRUDE,GOLD,-0.0013766344346419644
shock,6,WTI CRUDE,CORN,-0.014596129000245662
shock,6,WTI CRUDE,WHEAT,-0.0050909074257640225
shock,6,WTI CRUDE,SOYBEANS,-0.007132740123560527
shock,6,WTI CRUDE,COPPER,-0.005892198637734667
shock,6,WTI CRUDE,SILVER,-0.008426059916928626
shock,7,WTI CRUDE,WTI CRUDE,0.01700549449831958
shock,7,WTI CRUDE,NATURAL GAS,0.012974174695753739
shock,7,WTI CRUDE,GOLD,-0.0011304233647995271
shock,7,WTI CRUDE,CORN,-0.0006855157610874266
shock,7,WTI CRUDE,WHEAT,0.0005098516598994068
shock,7,WTI CRUDE,SOYBEANS,-0.003448503958790525
shock,7,WTI CRUDE,COPPER,0.000728198884270043
shock,7,WTI CRUDE,SILVER,0.0005877809706474028
shock,8,WTI CRUDE,WTI CRUDE,0.009778555935598237
shock,8,WTI CRUDE,NATURAL GAS,-0.004576855396112799
shock,8,WTI CRUDE,GOLD,0.0009508402057991264
shock,8,WTI CRUDE,CORN,0.007837418501538986
shock,8,WTI CRUDE,WHEAT,7.240149953902497e-05
shock,8,WTI CRUDE,SOYBEANS,0.005229057377994991
shock,8,WTI CRUDE,COPPER,0.0031186762634604743
shock,8,WTI CRUDE,SILVER,0.0011413493092739878
shock,9,WTI CRUDE,WTI CRUDE,-0.013486719901133506
shock,9,WTI CRUDE,NATURAL GAS,-0.0033411829896888307
shock,9,WTI CRUDE,GOLD,0.0004483313195823408
shock,9,WTI CRUDE,CORN,-0.0027350253617193098
shock,9,WTI CRUDE,WHEAT,0.0012818415912255086
shock,9,WTI CRUDE,SOYBEANS,0.0002478850264295245
shock,9,WTI CRUDE,COPPER,-0.001636980013084159
shock,9,WTI CRUDE,SILVER,0.0012073823523093778
shock,10,WTI CRUDE,WTI CRUDE,-0.00023557898825274216
shock,10,WTI CRUDE,NATURAL GAS,0.0037110000220377244
shock,10,WTI CRUDE,GOLD,-0.0010164970011401371
shock,10,WTI CRUDE,CORN,-0.004197704644795479
shock,10,WTI CRUDE,WHEAT,-0.0015340235869987743
shock,10,WTI CRUDE,SOYBEANS,-0.004005009413531629
shock,10,WTI CRUDE,COPPER,-0.0013713790038631718
shock,10,WTI CRUDE,SILVER,-0.0025472637477861977
shock,11,WTI CRUDE,WTI CRUDE,0.009798516985362755
shock,11,WTI CRUDE,NATURAL GAS,0.0006971997233109717
shock,11,WTI CRUDE,GOLD,0.0003773139770837115
shock,11,WTI CRUDE,CORN,0.004538236425662604
shock,11,WTI CRUDE,WHEAT,0.00043281403110938417
shock,11,WTI CRUDE,SOYBEANS,0.002378367571506132
shock,11,WTI CRUDE,COPPER,0.0019984952816408915
shock,11,WTI CRUDE,SILVER,0.0012460533446658306
