regime,horizon,impulse,response,irf_value
normal,0,WTI CRUDE,WTI CRUDE,0.02260012986822511
normal,0,WTI CRUDE,NATURAL GAS,0.007501170459139512
normal,0,WTI CRUDE,GOLD,0.0019868749625036016
normal,0,WTI CRUDE,CORN,0.0030323571401214442
normal,0,WTI CRUDE,WHEAT,0.0031346950263350295
normal,0,WTI CRUDE,SOYBEANS,0.003050659803894785
normal,0,WTI CRUDE,COPPER,0.004463530730880986
normal,0,WTI CRUDE,SILVER,0.004361681160518008
normal,1,WTI CRUDE,WTI CRUDE,-0.000694108817905847
normal,1,WTI CRUDE,NATURAL GAS,-0.0015272934632381133
normal,1,WTI CRUDE,GOLD,0.00012724637866005052
normal,1,WTI CRUDE,CORN,-0.00027634994727774166
normal,1,WTI CRUDE,WHEAT,-0.00029092659984625047
normal,1,WTI CRUDE,SOYBEANS,-0.0001518979204538083
normal,1,WTI CRUDE,COPPER,-7.896500403129578e-05
normal,1,WTI CRUDE,SILVER,0.0005205415807227886
normal,2,WTI CRUDE,WTI CRUDE,-0.00038077538082444714
normal,2,WTI CRUDE,NATURAL GAS,4.158934081740597e-05
normal,2,WTI CRUDE,GOLD,-0.000292620436975176
normal,2,WTI CRUDE,CORN,0.00021576158979515577
normal,2,WTI CRUDE,WHEAT,6.472430596086275e-05
normal,2,WTI CRUDE,SOYBEANS,1.3925441483590418e-05
normal,2,WTI CRUDE,COPPER,7.729475810986782e-05
normal,2,WTI CRUDE,SILVER,-0.000633139773440308
normal,3,WTI CRUDE,WTI CRUDE,-0.00011679043212475747
normal,3,WTI CRUDE,NATURAL GAS,-0.0001930253107304393
normal,3,WTI CRUDE,GOLD,-5.044497921383029e-05
normal,3,WTI CRUDE,CORN,-2.9126552968992693e-05
normal,3,WTI CRUDE,WHEAT,-0.0002877328471048977
normal,3,WTI CRUDE,SOYBEANS,-1.5316525366500135e-05
normal,3,WTI CRUDE,COPPER,-0.0001813045240547233
normal,3,WTI CRUDE,SILVER,9.781722094166313e-05
normal,4,WTI CRUDE,WTI CRUDE,-3.2289157902199036e-05
normal,4,WTI CRUDE,NATURAL GAS,7.0216128477628e-05
normal,4,WTI CRUDE,GOLD,9.118537462612706e-07
normal,4,WTI CRUDE,CORN,1.7095560465243417e-05
normal,4,WTI CRUDE,WHEAT,1.2847142562802381e-05
normal,4,WTI CRUDE,SOYBEANS,3.062039843688734e-05
normal,4,WTI CRUDE,COPPER,8.483455289111094e-06
normal,4,WTI CRUDE,SILVER,-1.897109469459207e-05
normal,5,WTI CRUDE,WTI CRUDE,1.9072928679829197e-05
normal,5,WTI CRUDE,NATURAL GAS,-8.330141900487346e-06
normal,5,WTI CRUDE,GOLD,4.642699033598643e-06
normal,5,WTI CRUDE,CORN,1.731026707919424e-05
normal,5,WTI CRUDE,WHEAT,2.6327726961720412e-05
normal,5,WTI CRUDE,SOYBEANS,-4.111350423589472e-06
normal,5,WTI CRUDE,COPPER,1.8239636279650854e-05
normal,5,WTI CRUDE,SILVER,1.74498762775946e-05
normal,6,WTI CRUDE,WTI CRUDE,-9.691197438936715e-06
normal,6,WTI CRUDE,NATURAL GAS,-7.356016129517727e-07
normal,6,WTI CRUDE,GOLD,-8.076410728977632e-06
normal,6,WTI CRUDE,CORN,-1.2552533255091893e-05
normal,6,WTI CRUDE,WHEAT,-4.889911096410017e-06
normal,6,WTI CRUDE,SOYBEANS,-9.849397289774938e-06
normal,6,WTI CRUDE,COPPER,-9.072507138776202e-06
normal,6,WTI CRUDE,SILVER,-1.2104171073825229e-05
normal,7,WTI CRUDE,WTI CRUDE,1.916454830886845e-06
normal,7,WTI CRUDE,NATURAL GAS,-2.6127119160010084e-06
normal,7,WTI CRUDE,GOLD,1.0751941490016468e-06
normal,7,WTI CRUDE,CORN,-1.1808275876698313e-07
normal,7,WTI CRUDE,WHEAT,1.358694192158429e-06
normal,7,WTI CRUDE,SOYBEANS,5.529129990092488e-07
normal,7,WTI CRUDE,COPPER,1.3350772744388898e-06
normal,7,WTI CRUDE,SILVER,1.2145379190771016e-06
normal,8,WTI CRUDE,WTI CRUDE,9.779176731659216e-08
normal,8,WTI CRUDE,NATURAL GAS,1.1323236051610958e-06
normal,8,WTI CRUDE,GOLD,1.0906371471042829e-07
normal,8,WTI CRUDE,CORN,1.3284665727954973e-06
normal,8,WTI CRUDE,WHEAT,6.776050214148646e-09
normal,8,WTI CRUDE,SOYBEANS,3.5421299365040796e-07
normal,8,WTI CRUDE,COPPER,8.170628374535237e-08
normal,8,WTI CRUDE,SILVER,4.981155697925461e-07
normal,9,WTI CRUDE,WTI CRUDE,2.2925992176764847e-07
normal,9,WTI CRUDE,NATURAL GAS,2.728006928389647e-07
normal,9,WTI CRUDE,GOLD,-2.1552503345002708e-07
normal,9,WTI CRUDE,CORN,-3.2441356486614893e-07
normal,9,WTI CRUDE,WHEAT,-7.49764561779253e-08
normal,9,WTI CRUDE,SOYBEANS,-4.894741339913289e-07
normal,9,WTI CRUDE,COPPER,-2.0665312324970964e-07
normal,9,WTI CRUDE,SILVER,-7.108851901623562e-07
normal,10,WTI CRUDE,WTI CRUDE,1.903794536956049e-08
normal,10,WTI CRUDE,NATURAL GAS,-9.733248136192283e-09
normal,10,WTI CRUDE,GOLD,4.3104210193163886e-08
normal,10,WTI CRUDE,CORN,3.8910862558156946e-08
normal,10,WTI CRUDE,WHEAT,4.857510210480913e-08
normal,10,WTI CRUDE,SOYBEANS,1.0439258235574757e-07
normal,10,WTI CRUDE,COPPER,7.004026346475934e-08
normal,10,WTI CRUDE,SILVER,1.5158801014756251e-07
normal,11,WTI CRUDE,WTI CRUDE,-4.1354710040844077e-08
normal,11,WTI CRUDE,NATURAL GAS,-3.083396560678111e-08
normal,11,WTI CRUDE,GOLD,-5.020329146906412e-09
normal,11,WTI CRUDE,CORN,1.6198874343600286e-08
normal,11,WTI CRUDE,WHEAT,-8.762439955882733e-09
normal,11,WTI CRUDE,SOYBEANS,9.487550143342013e-09
normal,11,WTI CRUDE,COPPER,-9.533180324635562e-09
normal,11,WTI CRUDE,SILVER,-1.3706815833890214e-08
normal,12,WTI CRUDE,WTI CRUDE,2.3446878248504576e-08
normal,12,WTI CRUDE,NATURAL GAS,-3.527460805859111e-09
normal,12,WTI CRUDE,GOLD,-3.713473525768833e-09
normal,12,WTI CRUDE,CORN,-3.316567793374603e-09
normal,12,WTI CRUDE,WHEAT,4.0569569688485656e-10
normal,12,WTI CRUDE,SOYBEANS,-1.1966348163614006e-09
normal,12,WTI CRUDE,COPPER,-3.6250236748074914e-09
normal,12,WTI CRUDE,SILVER,-1.7854792309121266e-08
normal,13,WTI CRUDE,WTI CRUDE,-4.217212500643426e-09
normal,13,WTI CRUDE,NATURAL GAS,7.680366374779434e-10
normal,13,WTI CRUDE,GOLD,1.2729105794082842e-09
normal,13,WTI CRUDE,CORN,-1.0505875110325736e-10
normal,13,WTI CRUDE,WHEAT,-1.0052048608916152e-09
normal,13,WTI CRUDE,SOYBEANS,-3.133322269220574e-10
normal,13,WTI CRUDE,COPPER,6.384207563625021e-10
normal,13,WTI CRUDE,SILVER,7.0385750957939954e-09
normal,14,WTI CRUDE,WTI CRUDE,-1.4244401506612618e-09
normal,14,WTI CRUDE,NATURAL GAS,4.018930829927288e-10
normal,14,WTI CRUDE,GOLD,-1.0031324007761854e-11
normal,14,WTI CRUDE,CORN,1.1363364905273306e-09
normal,14,WTI CRUDE,WHEAT,9.71038503986151e-10
normal,14,WTI CRUDE,SOYBEANS,6.537558378932337e-10
normal,14,WTI CRUDE,COPPER,7.696718927210815e-10
normal,14,WTI CRUDE,SILVER,-1.2041722742270157e-09
normal,15,WTI CRUDE,WTI CRUDE,7.512434012794215e-10
normal,15,WTI CRUDE,NATURAL GAS,-5.122351285820264e-10
normal,15,WTI CRUDE,GOLD,7.045108917762316e-11
normal,15,WTI CRUDE,CORN,-1.3449457723280897e-10
normal,15,WTI CRUDE,WHEAT,-7.62101618794444e-11
normal,15,WTI CRUDE,SOYBEANS,1.6473944060058798e-10
normal,15,WTI CRUDE,COPPER,6.036537107048944e-11
normal,15,WTI CRUDE,SILVER,1.5175255791277653e-10
normal,16,WTI CRUDE,WTI CRUDE,-1.7637781420032725e-10
normal,16,WTI CRUDE,NATURAL GAS,1.5908328368554485e-10
normal,16,WTI CRUDE,GOLD,-5.1971804727118135e-11
normal,16,WTI CRUDE,CORN,-1.2190581450475654e-10
normal,16,WTI CRUDE,WHEAT,-7.904828493663433e-11
normal,16,WTI CRUDE,SOYBEANS,-8.851016846840758e-11
normal,16,WTI CRUDE,COPPER,-1.381144120914621e-10
normal,16,WTI CRUDE,SILVER,-1.0639922928141247e-11
normal,17,WTI CRUDE,WTI CRUDE,2.6198371640183388e-11
normal,17,WTI CRUDE,NATURAL GAS,-4.931905236634336e-11
normal,17,WTI CRUDE,GOLD,4.606361499864799e-11
normal,17,WTI CRUDE,CORN,1.0327683267097205e-10
normal,17,WTI CRUDE,WHEAT,8.032903963768236e-11
normal,17,WTI CRUDE,SOYBEANS,6.101692269290695e-11
normal,17,WTI CRUDE,COPPER,7.931504362260467e-11
normal,17,WTI CRUDE,SILVER,5.549891992612266e-11
normal,18,WTI CRUDE,WTI CRUDE,-6.269353805909163e-12
normal,18,WTI CRUDE,NATURAL GAS,7.741423902497192e-12
normal,18,WTI CRUDE,GOLD,-2.473963514474336e-12
normal,18,WTI CRUDE,CORN,-6.396904109497558e-12
normal,18,WTI CRUDE,WHEAT,-1.012232438094274e-11
normal,18,WTI CRUDE,SOYBEANS,-5.187212172978033e-12
normal,18,WTI CRUDE,COPPER,-3.5161795006244553e-12
normal,18,WTI CRUDE,SILVER,5.212876559541614e-12
normal,19,WTI CRUDE,WTI CRUDE,1.456660136708878e-12
normal,19,WTI CRUDE,NATURAL GAS,1.8070222133552805e-12
normal,19,WTI CRUDE,GOLD,-3.4589457842673878e-12
normal,19,WTI CRUDE,CORN,-1.1004157800642936e-11
normal,19,WTI CRUDE,WHEAT,-4.957056674113058e-12
normal,19,WTI CRUDE,SOYBEANS,-6.4019569951575456e-12
normal,19,WTI CRUDE,COPPER,-6.297249530913378e-12
normal,19,WTI CRUDE,SILVER,-8.885033946090633e-12
normal,20,WTI CRUDE,WTI CRUDE,3.2867518302124165e-13
normal,20,WTI CRUDE,NATURAL GAS,-2.0825470182327007e-12
normal,20,WTI CRUDE,GOLD,2.4806783723113526e-12
normal,20,WTI CRUDE,CORN,5.3909047421622e-12
normal,20,WTI CRUDE,WHEAT,2.3824333288767935e-12
normal,20,WTI CRUDE,SOYBEANS,4.9897132233378755e-12
normal,20,WTI CRUDE,COPPER,3.240160636599206e-12
normal,20,WTI CRUDE,SILVER,6.235509313210785e-12
