regime,horizon,impulse,response,irf_value
shock,0,WTI CRUDE,WTI CRUDE,0.07067490760376902
shock,0,WTI CRUDE,NATURAL GAS,0.00942236794629637
shock,0,WTI CRUDE,GOLD,0.0032131014978618597
shock,0,WTI CRUDE,CORN,0.008089706542963307
shock,0,WTI CRUDE,WHEAT,0.005873833814030628
shock,0,WTI CRUDE,SOYBEANS,0.005750769410518446
shock,0,WTI CRUDE,COPPER,0.011189822350143515
shock,0,WTI CRUDE,SILVER,0.0074271908555985115
shock,1,WTI CRUDE,WTI CRUDE,-0.008085173456398684
shock,1,WTI CRUDE,NATURAL GAS,-0.0007519927182168435
shock,1,WTI CRUDE,GOLD,-0.0007864280838225297
shock,1,WTI CRUDE,CORN,-0.0009235495753809459
shock,1,WTI CRUDE,WHEAT,-0.001581540190425983
shock,1,WTI CRUDE,SOYBEANS,-0.0014604698745027149
shock,1,WTI CRUDE,COPPER,-0.0018549930233357184
shock,1,WTI CRUDE,SILVER,0.0009481927428751501
shock,2,WTI CRUDE,WTI CRUDE,-0.006478285780425712
shock,2,WTI CRUDE,NATURAL GAS,0.004335734586491668
shock,2,WTI CRUDE,GOLD,0.0006561059614452071
shock,2,WTI CRUDE,CORN,-0.0001209680451845176
shock,2,WTI CRUDE,WHEAT,0.00029748756677833003
shock,2,WTI CRUDE,SOYBEANS,-0.0006609916732898441
shock,2,WTI CRUDE,COPPER,-0.00011574053072631047
shock,2,WTI CRUDE,SILVER,0.0010672629982450385
shock,3,WTI CRUDE,WTI CRUDE,-0.004932881442985031
shock,3,WTI CRUDE,NATURAL GAS,0.002688065059705956
shock,3,WTI CRUDE,GOLD,-0.0006003367220327383
shock,3,WTI CRUDE,CORN,0.0006959778320679091
shock,3,WTI CRUDE,WHEAT,0.0007560929704948828
shock,3,WTI CRUDE,SOYBEANS,0.0003208625974063468
shock,3,WTI CRUDE,COPPER,0.0035482440751280386
shock,3,WTI CRUDE,SILVER,0.00037026548626438536
shock,4,WTI CRUDE,WTI CRUDE,0.0009335336996790708
shock,4,WTI CRUDE,NATURAL GAS,-0.0008936312620881081
shock,4,WTI CRUDE,GOLD,-0.000459448138695728
shock,4,WTI CRUDE,CORN,-0.0009619164605699245
shock,4,WTI CRUDE,WHEAT,-0.0008307676547239039
shock,4,WTI CRUDE,SOYBEANS,-0.0005029660732800807
shock,4,WTI CRUDE,COPPER,-0.001384194864546406
shock,4,WTI CRUDE,SILVER,-0.0013267167700518926
shock,5,WTI CRUDE,WTI CRUDE,0.000511407803334616
shock,5,WTI CRUDE,NATURAL GAS,-0.0006515754853737558
shock,5,WTI CRUDE,GOLD,-0.00027015068644282487
shock,5,WTI CRUDE,CORN,-0.0004715913788470246
shock,5,WTI CRUDE,WHEAT,-0.000215477479285939
shock,5,WTI CRUDE,SOYBEANS,0.00020155099101549755
shock,5,WTI CRUDE,COPPER,-0.0008466168501401415
shock,5,WTI CRUDE,SILVER,-0.0007031974254504156
shock,6,WTI CRUDE,WTI CRUDE,-0.00025790548474897805
shock,6,WTI CRUDE,NATURAL GAS,0.0001335418722359899
shock,6,WTI CRUDE,GOLD,-0.00015204351594448663
shock,6,WTI CRUDE,CORN,-0.000600311488982656
shock,6,WTI CRUDE,WHEAT,-0.0008518230766626732
shock,6,WTI CRUDE,SOYBEANS,-0.00015103170625483238
shock,6,WTI CRUDE,COPPER,-0.0007346937801630263
shock,6,WTI CRUDE,SILVER,-0.0007977157768071541
shock,7,WTI CRUDE,WTI CRUDE,3.249582936456408e-05
shock,7,WTI CRUDE,NATURAL GAS,0.00013404464136778724
shock,7,WTI CRUDE,GOLD,0.00026295241292486195
shock,7,WTI CRUDE,CORN,0.00022002874307979191
shock,7,WTI CRUDE,WHEAT,0.0004245005652530533
shock,7,WTI CRUDE,SOYBEANS,9.303265059527115e-05
