commodity,p,q,aic,bic,oil_shock_lag_0_coef,oil_shock_lag_1_coef,oil_shock_lag_2_coef,oil_shock_lag_3_coef,ar.L1_coef,sigma2_coef,oil_shock_lag_0_pvalue,oil_shock_lag_1_pvalue,oil_shock_lag_2_pvalue,oil_shock_lag_3_pvalue,ar.L1_pvalue,sigma2_pvalue,ma.L1_coef,ma.L1_pvalue,ar.L2_coef,ar.L2_pvalue
NATURAL GAS,1,0,-20880.6633304909,-20841.35608207088,0.3393576535503281,-0.06567865260384011,0.025610773392625342,-0.0048869879039685855,-0.04421310539985776,0.001031575959563285,1.7798846322540454e-86,0.00020934433107856328,0.1564536767971628,0.75507189879112,1.6436131648932393e-05,0.0,,,,
GOLD,0,0,-32342.920439100806,-32310.16439875079,0.09634931908076746,0.002442916628771105,-0.010762800647640172,-0.00589756137443976,,0.00011245835540796242,3.985008301213454e-94,0.6472450888977914,0.04462832904913314,0.27658469897806015,,0.0,,,,
SOYBEANS,0,0,-28609.428002543773,-28576.671962193755,0.14348966667957833,-0.018406543972940344,0.003227369447967191,0.006024989117225561,,0.00023152254603721334,4.186397719478916e-77,0.03726533385538824,0.7151575237242048,0.47230676612555067,,0.0,,,,
CORN,0,0,-27238.383119643662,-27205.627079293645,0.1439193071029332,-0.01933615868666885,0.014573116261494283,0.005485574301252199,,0.00030193441951296507,3.897154819579856e-54,0.0439283076841351,0.1575737342150103,0.5589240012965626,,0.0,,,,
COPPER,1,0,-28110.705599299537,-28071.398350879517,0.22440701947933472,-0.015105684430338214,0.006274205436203831,0.01226705895347337,-0.07117748974748471,0.00025498202135050546,1.554115807679819e-241,0.05026692744361461,0.4328288997525035,0.10289787699603187,2.1804888883745859e-13,0.0,,,,
SILVER,0,0,-26779.281121488348,-26746.52508113833,0.2010772711187047,0.020124899026727313,-0.02599308683337377,-0.004435894653643306,,0.00032977440322566614,1.2657089722229928e-132,0.024526198057880998,0.008662538393296499,0.632203259149134,,0.0,,,,
LIVE CATTLE,0,0,-31649.99634945118,-31617.240309101162,0.03562801509681883,0.005510991595956434,-0.002037880721666279,0.008034229532219272,,0.00012859908467252235,1.4570123478468289e-08,0.4130796982869157,0.7671777769180921,0.20840829691706586,,0.0,,,,
SOYBEAN OIL,0,0,-29629.671356728613,-29596.915316378596,0.18006007709219585,-0.006427576122164302,0.011213362288379478,0.006419800240094679,,0.00019031182097461674,2.233620939968301e-174,0.4028770812552578,0.13004152877115074,0.33724999502666375,,0.0,,,,
ALUMINIUM,1,0,-29953.567492183538,-29914.260243763518,0.14582850998196656,0.011382336390094033,0.010020634011067392,0.007270941844453342,-0.07598898628005177,0.0001785639679141971,6.526933540639588e-102,0.13716325623661701,0.2063369987010013,0.32780012344151443,1.0497337640199595e-12,0.0,,,,
SOYBEAN MEAL,0,0,-26732.110592066863,-26699.354551716846,0.10699618621272863,-0.010495537410306559,-5.59932247153676e-05,0.0007020725275236108,,0.00033279684628433103,4.47598350692105e-26,0.3412084031804197,0.9960002806748833,0.9488481070844588,,0.0,,,,
ZINC,0,1,-25829.656555730617,-25790.350467291268,0.18184555032037406,-0.0015463378181251573,0.00949469406202507,0.0017989917501668334,,0.0003958922890296766,1.5443082536018668e-68,0.8939158990762782,0.41851240151757807,0.8775845921637117,,0.0,-0.13259831117492749,5.902038532285019e-129,,
NICKEL,2,0,-23837.32749658751,-23791.470393408268,0.22770843996405235,0.007805824043039157,0.023300754753363392,-0.007843608097492006,-0.08995757920122852,0.0005816982539477047,2.623645473869658e-78,0.5384873742611955,0.07414635522295128,0.5435504908586881,2.4707679395200963e-58,0.0,,,-0.054286408180902954,1.456629124701022e-07
WHEAT,0,0,-26207.73273357923,-26174.97669322921,0.14357400061270584,-0.03383899302616081,0.006757907699764545,-0.0050976466814119485,,0.00036868138742041594,2.4568358880387114e-49,0.002839488500907549,0.538331739709715,0.6142038542867891,,0.0,,,,
SUGAR,0,0,-25423.335515940315,-25390.579475590297,0.14879294379150684,-0.010379956192566046,0.005689623203895052,0.011552698472944137,,0.0004286325376113872,3.68816184928697e-38,0.40191811742772765,0.6213151332657558,0.3145654820998981,,0.0,,,,
COFFEE,0,0,-25480.43746373299,-25447.681423382972,0.12633034691646872,-0.006577843686865242,0.012313379098842375,0.023242979704035962,,0.000424111585261304,4.951575340761323e-29,0.594716911437815,0.3131293454611779,0.06037973366592157,,0.0,,,,
LEAN HOGS,0,0,-24559.55227526989,-24526.79623491987,0.03358894467082268,0.021496036815721684,-0.021260029122304343,0.003553164748470611,,0.0005069934014368394,0.0204306363356141,0.12209941632441097,0.13250798106499362,0.7848448818725353,,0.0,,,,
HRW WHEAT,0,0,-27110.947617927515,-27078.191577577498,0.12857160242437174,-0.03990996469767869,0.006899635500970203,-0.004449782233845554,,0.0003093201098924151,1.494281754452268e-48,0.0001561027804311003,0.49657372375781195,0.6252757723197029,,0.0,,,,
COTTON,1,0,-26765.93963178076,-26726.63238336074,0.1301628111778359,0.005324856557570607,0.01156403882533284,0.024413172420717777,0.0494545193796762,0.0003306802260775672,1.4552111299385118e-41,0.6029096478734637,0.2574757529715306,0.013577355876435864,3.9680300702958285e-07,0.0,,,,
